SYMBOL,PBS_IR_DMXAA,Ure_IR,Ure_mock_IR,Ure_mock_IR_DMXAA,control,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Col5a3,0,1,0,0,0,1,1,0
Colec12,0,1,0,0,0,1,1,0
Comt,0,1,0,0,0,1,1,0
Coq2,0,1,0,0,0,1,1,0
Cp,0,1,0,0,0,1,1,0
Creld2,0,1,0,0,0,1,1,0
Crlf1,0,1,0,0,0,1,1,0
Coa6,0,1,0,0,0,1,1,0
4933402J07Rik,0,1,0,0,0,1,1,0
Adap1,0,1,0,0,0,1,1,0
Adck5,0,1,0,0,0,1,1,0
Adgrd1,0,1,0,0,0,1,1,0
Adgrl1,0,1,0,0,0,1,1,0
Adgrl3,0,1,0,0,0,1,1,0
Adnp,0,1,0,0,0,1,1,0
Adora2b,0,1,0,0,0,1,1,0
Abhd10,0,1,1,0,0,0,1,1
Afap1l2,0,1,0,0,0,1,1,0
C1galt1,0,1,0,0,0,1,1,0
Akp3,0,1,0,0,0,1,1,0
Akr1b7,0,1,0,0,0,1,1,0
Akt2,0,1,0,0,0,1,1,0
Alk,0,1,0,0,0,1,1,0
Ammecr1,0,1,0,0,0,1,1,0
Ankfn1,0,1,0,0,0,1,1,0
Ankfy1,0,1,0,0,0,1,1,0
Ankhd1,0,1,0,0,0,1,1,0
Ankrd13b,0,1,0,0,0,1,1,0
Ankrd16,0,1,0,0,0,1,1,0
Ankrd33b,0,1,0,0,0,1,1,0
Agbl3,0,1,0,0,0,1,1,0
Abi3,0,1,0,0,0,1,1,0
Abl2,0,1,0,0,0,1,1,0
Abraxas2,0,1,0,0,0,1,1,0
Acads,0,1,0,0,0,1,1,0
Acadsb,0,1,0,0,0,1,1,0
Acox3,0,1,0,0,0,1,1,0
Actn4,0,1,0,0,0,1,1,0
Actrt3,0,1,0,0,0,1,1,0
Adam28,0,1,0,0,0,1,1,0
Adam9,0,1,0,0,0,1,1,0
4932438A13Rik,0,1,0,0,0,1,1,0
Adamts13,0,2,0,1,0,2,1,-1
Trim11,0,2,1,1,0,1,1,0
Arc,0,1,0,0,0,1,1,0
Wee1,0,1,0,0,0,1,1,0
Vmn1r179,0,1,0,0,0,1,1,0
Aebp1,0,1,0,0,0,1,1,0
1700013H16Rik,0,1,0,0,0,1,1,0
1700113H08Rik,0,1,0,0,0,1,1,0
3830408C21Rik,0,1,0,0,0,1,1,0
4930444P10Rik,0,1,0,0,0,1,1,0
4930562C15Rik,0,1,0,0,0,1,1,0
Adamts1,0,1,0,0,0,1,1,0
Atp7a,0,1,0,0,0,1,1,0
Atp8b1,0,1,0,0,0,1,1,0
Atp9a,0,1,1,0,0,0,1,1
Atr,0,1,0,0,0,1,1,0
Atrn,0,2,0,1,0,2,1,-1
Atxn3,0,1,0,0,0,1,1,0
Avpr2,0,1,0,0,0,1,1,0
Axin2,0,1,1,0,0,0,1,1
Baz1a,0,1,0,0,0,1,1,0
Baz2a,0,1,0,0,0,1,1,0
Ano7,0,1,0,0,0,1,1,0
Bbs10,0,1,0,0,0,1,1,0
Bfsp1,0,1,0,0,0,1,1,0
Blvra,0,1,0,0,0,1,1,0
Bmp1,0,1,0,0,0,1,1,0
Brd1,0,1,1,0,0,0,1,1
Brinp1,0,1,0,0,0,1,1,0
Brs3,0,1,0,0,0,1,1,0
Bsdc1,0,1,0,0,0,1,1,0
Btbd16,0,1,0,0,0,1,1,0
Btbd8,0,1,0,0,0,1,1,0
Bub1b,0,1,0,0,0,1,1,0
Bbof1,0,1,0,0,0,1,1,0
Aox4,0,1,0,0,0,1,1,0
Ap2a2,0,1,1,0,0,0,1,1
Ap4s1,0,1,0,0,0,1,1,0
Aplp2,0,1,0,0,0,1,1,0
Apoa1,0,1,0,0,0,1,1,0
Appl2,0,1,0,0,0,1,1,0
5730480H06Rik,0,1,0,0,0,1,1,0
Arhgap10,0,1,0,0,0,1,1,0
Arhgef10,0,1,0,0,0,1,1,0
Arhgef25,0,1,0,0,0,1,1,0
Armc10,0,1,0,0,0,1,1,0
Atp6v1d,0,2,0,1,0,2,1,-1
Arnt2,0,1,0,0,0,1,1,0
Asb18,0,1,0,0,0,1,1,0
Aspm,0,1,1,0,0,0,1,1
Asxl1,0,1,0,0,0,1,1,0
Asz1,0,1,0,0,0,1,1,0
Atg12,0,1,0,0,0,1,1,0
Atg2b,0,1,0,0,0,1,1,0
Atg9b,0,1,0,0,0,1,1,0
Atp1a1,0,1,0,0,0,1,1,0
Atp2c1,0,2,3,1,0,-1,1,2
Atp6v0d1,0,1,0,0,0,1,1,0
Armcx5,0,1,0,0,0,1,1,0
Gucd1,0,1,0,0,0,1,1,0
Gucy2d,0,1,0,0,0,1,1,0
Gulo,0,1,0,0,0,1,1,0
H2-DMa,0,1,0,0,0,1,1,0
Haus6,0,1,0,0,0,1,1,0
Haus7,0,1,0,0,0,1,1,0
Hcfc1,0,1,0,0,0,1,1,0
Hdac4,0,1,0,0,0,1,1,0
Hdhd5,0,1,0,0,0,1,1,0
Hdx,0,1,0,0,0,1,1,0
Dhx36,0,1,0,0,0,1,1,0
Helz,0,1,0,0,0,1,1,0
Herc2,0,1,0,0,0,1,1,0
Herpud1,0,1,0,0,0,1,1,0
Hexim1,0,1,0,0,0,1,1,0
Hey2,0,1,1,0,0,0,1,1
Hhipl1,0,1,0,0,0,1,1,0
Hibadh,0,1,0,0,0,1,1,0
Hip1r,0,1,0,0,0,1,1,0
Hirip3,0,1,0,0,0,1,1,0
Hmx1,0,1,0,0,0,1,1,0
Hs3st5,0,1,0,0,0,1,1,0
Hectd2,0,1,0,0,0,1,1,0
Gm29427,0,1,0,0,0,1,1,0
Gm37240,0,1,1,0,0,0,1,1
