Gene,Symbol,Ure,Ure,Ure,Ure_DMXAA,Ure_DMXAA,Ure_DMXAA,Ure_RT,Ure_RT,Ure_RT,Ure_RT_DMXAA,Ure_RT_DMXAA,Ure_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA
ENSMUSG00000067736,Gm10222,1.041591535,0.84691901,1.200095911,1.029162665,1.615814442,1.37329065,1.380716951,1.431733301,1.782282376,1.661644377,0.743193398,0.993724072,0.954695375,1.054595985,1.08389809
ENSMUSG00000101939,Gm28438,13.48861038,11.13093556,12.48099747,10.6190875,7.974826117,9.212491444,9.57688779,8.11315537,9.437995308,7.611403278,6.370229129,5.962344433,9.326639429,7.015355902,8.802566308
ENSMUSG00000101111,Gm28437,3.489331643,3.508664471,3.780302119,2.526126542,1.772183582,3.089903963,2.937695641,2.015032053,3.240513411,3.537694481,3.344370293,2.931486013,2.643771807,2.980379958,2.923240304
ENSMUSG00000100862,Gm10925,3.54141122,3.629652901,3.90031171,3.602069329,2.814644512,4.11987195,2.761433903,3.287683875,3.524058334,4.020107365,2.972773594,3.130230827,3.525029075,3.943271945,3.481612047
ENSMUSG00000102070,Gm28661,2.708137991,2.359274385,3.180254163,2.760027148,3.127382791,2.803801744,3.084580423,2.810439442,3.281019828,2.840875871,2.282665438,2.732741198,2.680490859,3.117935956,2.430559354
ENSMUSG00000101249,Gm29216,1.406148572,2.05680331,1.500119888,1.356623513,1.772183582,1.544951981,1.527601733,1.325678982,1.660763123,1.661644377,0.637022913,1.540272312,1.175009692,1.742375976,1.313815867
ENSMUSG00000073725,Lmbrd1,109.262952,103.0821424,94.44754817,111.4770287,102.4217864,113.983124,110.6629948,108.9177852,111.3521421,109.7757318,108.1346395,105.185693,106.5219724,115.1343704,105.8935589
ENSMUSG00000073722,4931408C20Rik,0.624954921,0.72593058,0.54004316,0.514581333,0.833968744,0.972747544,0.969439562,0.318162956,0.648102682,0.804021473,0.477767185,0.099372407,0.403909582,0.412667994,0.624062537
ENSMUSG00000086240,Gm7846,0.520795768,0.544447935,0.480038364,0.701701817,0.521230465,0.45776355,0.616916085,0.530271593,0.364557759,0.482412884,0.530852427,0.447175832,0.51406674,0.550223992,0.722598727
ENSMUSG00000048874,Phf3,142.3855629,137.5033507,109.4487471,124.9964837,126.8674952,125.7133149,132.783843,122.8109009,139.180051,120.5496195,117.5838127,116.0669716,124.2572749,121.3243903,123.5315369
ENSMUSG00000026064,Ptp4a1,66.50561952,70.83872578,66.60532304,56.46360623,53.84310705,64.54466056,63.36609498,77.1014896,76.19257157,65.12573931,70.86879906,75.52302948,80.70847821,77.35232292,69.73077714
ENSMUSG00000026134,Prim2,9.530562547,7.924742167,8.580685762,7.71871999,8.548179629,9.040830113,8.372432577,8.431318326,7.412674427,7.879410435,8.281297868,8.744771835,7.564124891,8.299211884,7.554441235
ENSMUSG00000004768,Rab23,26.14394753,26.31498353,25.68205249,25.16770518,20.22374205,24.60479081,25.93985251,25.08184634,27.90892175,22.83420983,22.82665438,24.69404319,28.23695166,24.85178365,26.80184369
ENSMUSG00000042215,Bag2,8.436891435,8.408695887,9.300743308,7.017018173,8.339687443,6.809232807,5.875391282,6.204177636,7.777232185,6.324968921,6.423314372,7.502616745,9.73054901,7.703135892,8.506957738
ENSMUSG00000042197,Zfp451,42.39277548,42.28545629,34.86278621,36.53527462,40.08262277,40.11153107,41.95029376,38.17955468,39.89882137,34.94813336,37.53126662,35.47594937,37.04952434,38.42397546,39.71008458
ENSMUSG00000042182,Bend6,2.031103494,1.149390085,2.460196617,1.871204846,1.407322256,1.430511094,1.55697869,2.015032053,1.660763123,3.001680166,1.964153982,2.931486013,2.460176542,2.980379958,2.529095544
ENSMUSG00000026131,Dst,430.8543385,411.2396737,291.0232583,391.4560538,349.7977652,364.4942267,423.4688267,413.2936794,474.2086312,340.1546845,364.2178505,347.9524839,414.5213878,371.9972708,420.6509952
ENSMUSG00000102336,Gm37233,1.510307726,1.2098843,1.020081524,1.63730424,1.563691396,1.316070206,1.938879123,0.901461708,2.025320882,1.876050104,1.804898253,2.633368791,1.138290639,1.742375976,1.740806024
ENSMUSG00000042111,Ccdc115,20.98806943,22.32236534,28.08224431,23.71752143,24.91481624,23.17427972,23.56031904,23.59708588,24.5873955,24.22784705,23.56984778,21.66318477,24.45488921,24.89763565,22.20348815
ENSMUSG00000026127,Imp4,47.39241485,45.61263812,45.96367338,41.44718734,42.48028291,40.11153107,39.95266072,38.49771764,41.60009091,37.36019778,41.08797788,40.49425594,44.0995825,46.99829934,44.63689408
ENSMUSG00000026126,Ptpn18,17.65497652,16.81739177,22.32178394,21.84631658,26.32213849,19.62661221,21.7683247,19.30188598,18.47092644,20.31494255,19.85388079,21.61349857,15.64231652,17.65301975,18.7218761
ENSMUSG00000100280,Gm28417,2.031103494,1.754332235,2.160172639,2.245445815,3.335874977,2.517699525,2.585172164,1.325678982,1.903801629,1.179231494,2.441921166,2.037134348,1.175009692,1.283855982,1.806496817
ENSMUSG00000037509,Arhgef4,5.676673867,6.956834726,4.620369256,6.034635629,6.150519489,6.065367038,6.786076931,6.257204795,6.886090998,7.504200414,8.652894567,6.856696098,7.67428205,6.465131909,7.061760285
ENSMUSG00000104002,Gm38336,0.989511958,0.84691901,1.08008632,1.309843392,1.824306628,0.514983994,0.881308692,0.848434549,0.931647606,0.589615747,1.220960583,0.844665461,0.587504846,0.596075992,1.149588884
ENSMUSG00000037503,Fam168b,243.3678622,232.4792683,212.7170002,236.1460516,232.7294027,245.3612628,228.6114748,235.7587502,235.3422864,215.2097476,221.2592918,210.9676205,230.0081472,226.6005808,223.7099967
ENSMUSG00000026123,Plekhb2,174.8311392,167.7504582,157.0325499,147.6380624,173.6218679,163.7076896,146.4441277,164.7023567,159.7573111,159.5714617,154.4780564,168.3368578,167.5123192,179.6022815,152.3041044
ENSMUSG00000045216,Hs6st1,60.93310481,61.15965138,58.44467085,55.43444357,60.72334919,58.07875041,57.4907037,65.54156887,62.13684465,65.76895649,60.7295177,67.62292311,70.24354814,70.93304301,62.60332606
ENSMUSG00000102202,Gm33280,0.937432382,0.302471075,0.600047955,0.748481938,0.416984372,0.629424881,0.646293041,0.530271593,0.243038506,0.804021473,0.58393767,0.745293054,0.587504846,0.596075992,0.525526347
ENSMUSG00000037470,Uggt1,127.3866448,129.8810796,103.5682771,114.5645167,125.512296,109.5199293,125.0577034,138.5599672,131.7673766,138.0772876,131.3328905,146.1271248,135.7503385,140.903194,133.3851559
ENSMUSG00000047180,Neurl3,28.53960806,26.61745461,27.78222033,35.08509087,28.14644512,36.10610001,36.60368769,35.36911524,28.92158219,34.25131475,30.94869652,39.59990427,39.54641994,36.31478349,35.14457444
ENSMUSG00000037447,Arid5a,23.53996869,25.71004138,27.00215799,20.16223222,24.39358577,32.61565294,32.43215988,40.03550526,31.63551217,21.65497834,26.43645089,40.79237316,31.02759967,34.80166751,38.06781474
ENSMUSG00000010453,Kansl3,84.21267562,86.80919854,84.6667665,90.33241395,82.3544135,81.0813688,93.71249095,90.57038805,92.07108728,79.11571294,88.59927014,81.53506012,85.59211224,82.90041484,83.85429771
ENSMUSG00000037432,Fer1l5,5.78083302,6.049421501,4.980398029,4.303771146,4.065597628,3.433226625,4.142150854,3.499792513,4.577225192,3.698498776,3.503626021,4.123954899,4.369567291,4.401791938,4.992500294
ENSMUSG00000001143,Lman2l,27.55009611,27.94832734,24.30194219,22.31411779,22.30866391,20.19881665,20.18196905,21.10480939,24.14182491,21.01176116,22.24271671,22.20973301,24.85879879,22.92599968,22.7290145
ENSMUSG00000037408,Cnnm4,13.4365308,14.88157689,16.86134755,13.51945501,13.60411514,13.27514295,14.83536299,16.59750086,17.17472108,13.02514786,13.21822544,13.06747155,17.62514538,15.77308778,16.32416215
ENSMUSG00000001138,Cnnm3,40.30959241,38.23234389,36.36290609,36.67561499,39.50926926,35.24779335,35.89864073,30.80877954,30.42031964,34.62652477,36.57573225,33.19038401,35.25029075,34.20559152,36.26131793
ENSMUSG00000067653,Ankrd23,2.08318307,3.387676041,1.800143866,1.917984967,1.980675768,2.403258638,2.173894774,1.537787619,1.701269541,1.072028631,3.025858836,1.838389533,2.680490859,2.384303967,1.905033007
ENSMUSG00000079610,Ankrd39,6.145390057,6.291398361,7.80062342,8.280081444,8.131195257,8.525846119,7.638008667,6.204177636,5.751911304,7.236193257,7.962786412,8.049164984,6.646148569,6.923651903,7.357368855
ENSMUSG00000026121,Sema4c,44.47595855,45.43115547,46.56372134,46.92046152,39.30077707,41.1987195,48.03132373,41.20210276,32.20260202,34.57292334,42.73362041,38.20869057,38.48156741,32.37151155,38.19919633
ENSMUSG00000087589,D430040D24Rik,4.218445717,6.230904146,6.120489145,5.426494054,4.586828094,4.692076388,5.023459546,3.605846831,3.362032663,4.395317386,3.928307963,4.322699714,5.177386455,3.714011948,4.072829188
ENSMUSG00000061518,Cox5b,74.63003349,75.07332083,93.96750981,66.98913349,66.71749954,81.65357324,70.29905669,73.9728872,68.57736505,71.66511396,70.97496955,73.78401235,77.66079682,74.46364696,75.64294854
ENSMUSG00000037351,Actr1b,112.6481245,110.4019424,118.0294328,104.4132304,107.0607375,99.04858814,102.4080701,108.3875136,107.6660581,94.98173667,99.26940393,104.8378896,121.5033459,104.1298905,96.59831162
ENSMUSG00000026117,Zap70,5.572514713,7.622271092,6.060484349,8.326861565,6.150519489,7.438657688,8.871840836,7.052612184,6.440520404,7.236193257,7.53810447,6.06171684,6.903181939,5.823203918,6.930378698
ENSMUSG00000026116,Tmem131,103.5341986,98.36359361,78.0062342,102.3549051,99.91988017,96.41644773,93.80062182,96.45640273,97.53945366,102.4323357,99.90642684,102.502638,86.3264933,104.6342625,95.54725892
ENSMUSG00000050122,Vwa3b,7.759856937,7.198811586,6.300503531,7.204138658,6.984488233,7.438657688,8.078663013,7.476829459,8.587360538,8.361823319,7.591189712,7.999478781,8.665696477,6.41927991,9.558010432
ENSMUSG00000026113,Inpp4a,51.61086057,51.90403648,45.12360624,51.36457303,51.44544691,48.46571586,51.35091981,44.06556936,48.64820758,46.04362969,46.34341691,45.21444528,46.48632093,51.99616727,51.60011817
ENSMUSG00000026112,Coa5,104.836188,107.0747606,96.18768724,112.365851,104.9236926,111.0648813,110.6042409,128.9090242,125.0433112,122.6936768,116.8937045,119.9921817,122.0908508,128.7524142,111.0502862
ENSMUSG00000026111,Unc50,47.65281273,47.36697035,50.22401386,46.40588019,45.65978875,50.29677006,48.61886286,47.45930756,44.92161715,41.54110944,44.43234818,43.12762473,45.16443503,44.88910737,45.35949281
ENSMUSG00000026110,Mgat4a,20.46727367,23.89521493,24.42195178,26.1033076,27.31247638,25.17699525,28.76004033,32.45262148,29.08360786,30.44561311,32.70050953,27.37709819,30.62369009,33.24269953,29.92215637
