"","ID","Gene.name","logFC","logCPM","LR","PValue"
"12016","ENSMUSG00000042298","Ttc19",-0.175835544838497,4.36803265748669,1.13843227513327,0.285983839525749
"12017","ENSMUSG00000018501","Ncor1",-0.00731786052439987,8.12545202180907,0.00152125058453079,0.968887827367665
"12018","ENSMUSG00000081944","Gm12276",-0.434045173440641,-0.12559125813782,0.759760522821138,0.383403476804045
"12019","ENSMUSG00000014245","Pigl",-0.107612317200222,2.92887522203153,0.171916784685731,0.678413888718726
"12020","ENSMUSG00000018509","Cenpv",-0.238379139069015,3.12202031230792,0.800070307896086,0.371072349450345
"12021","ENSMUSG00000087120","Gm12279",0.652235700143019,-1.05228061731168,0.897883122151022,0.343349958728454
"12022","ENSMUSG00000019505","Ubb",-0.088620709996814,9.41919478739785,0.320189016074692,0.571494075362549
"12023","ENSMUSG00000018507","Trpv2",0.123054876302205,4.66130072214537,0.616032550132174,0.432525447470842
"12024","ENSMUSG00000086841","2410006H16Rik",0.088467120233891,4.06681284796075,0.0891661594494195,0.765239899504339
"12025","ENSMUSG00000046417","Lrrc75a",0.00641461545674791,3.95516326014933,0.000948017520903566,0.975437100688703
"12026","ENSMUSG00000048497","Mmgt2",-0.0159932981804635,3.76379961200364,0.00584216158336792,0.939073793420394
"12027","ENSMUSG00000005267","Zfp287",0.410676987971714,3.52379824443765,1.34953705672239,0.245359065471845
"12028","ENSMUSG00000098292","Gm27194",-0.439991549066426,0.540027713327128,1.2429593699837,0.264901472403615
"12029","ENSMUSG00000047342","Zfp286",0.885433158364347,1.80184748757668,6.10286603150294,0.013496282044931
"12030","ENSMUSG00000047821","Trim16",-0.460392830525352,6.28526120893891,7.87457183099479,0.00501347405573827
"12031","ENSMUSG00000090173","Fbxw10",0.717341137852395,0.429612543391449,1.26184811628885,0.261301557105772
"12032","ENSMUSG00000014177","Tvp23b",-0.0336663282580842,5.99120118132741,0.0432307253662194,0.835291434619515
"12033","ENSMUSG00000086677","Tvp23bos",-0.0335116857287492,-0.182631533885633,0.00249652703409797,0.960150073608184
"12034","ENSMUSG00000042189","Tekt3",-0.0327712368314544,-0.671058974222477,0.00306854381655919,0.955824226471697
"12035","ENSMUSG00000018217","Pmp22",-0.231924358624297,8.83762070884689,1.32008613971942,0.250576591886431
"12036","ENSMUSG00000070407","Hs3st3b1",-0.129229652241266,3.91279869056706,0.363648643688502,0.546486821971222
"12037","ENSMUSG00000042148","Cox10",0.0835799188302907,3.91283464113741,0.162672618405922,0.686707727671332
"12038","ENSMUSG00000087497","2810001G20Rik",0.159554632178817,2.21436656285468,0.248737370971154,0.617965539816482
"12039","ENSMUSG00000047759","Hs3st3a1",-0.340790520873961,1.27269439564696,0.508647714433672,0.475724836813653
"12040","ENSMUSG00000020549","Elac2",0.159132002599041,4.54792575646545,0.796496523417642,0.372142920029083
"12041","ENSMUSG00000033389","Arhgap44",0.141792867552385,6.65404525890031,0.893972102554382,0.344403170901871
"12042","ENSMUSG00000020542","Myocd",-0.845427757455249,1.55407720807847,4.7205707134825,0.0298038497049925
"12043","ENSMUSG00000085162","Gm12295",-0.721562992545677,-0.230993875253256,1.04085034915671,0.307623785647666
"12044","ENSMUSG00000033352","Map2k4",-0.0438803991687987,5.75768765704686,0.098852350940635,0.753211228617449
"12045","ENSMUSG00000018347","Zkscan6",0.246514730266394,3.46134064767164,1.04448977497475,0.306779563194659
"12046","ENSMUSG00000056752","Dnah9",-0.196504989146925,5.00331971336518,1.646981001321,0.199370331518522
"12047","ENSMUSG00000053930","Shisa6",0.563029960798115,1.48178021555755,0.608812016746747,0.435235457745938
"12048","ENSMUSG00000050270","Tmem220",0.225287003637136,3.33812727238078,0.914109174109166,0.339026479643617
