gene1	gene2	correlation	module1	module2
ENSMUSG00000073602	ENSMUSG00000027077	0.7626973474363583	brown	brown
ENSMUSG00000073602	ENSMUSG00000075217	0.7389431104212444	brown	brown
ENSMUSG00000073602	ENSMUSG00000050808	0.7565155104258832	brown	brown
ENSMUSG00000073602	ENSMUSG00000027401	0.7939476521411898	brown	brown
ENSMUSG00000073602	ENSMUSG00000017697	0.7914398377319579	brown	brown
ENSMUSG00000073602	ENSMUSG00000040154	0.7712661283578295	brown	brown
ENSMUSG00000073602	ENSMUSG00000017300	0.7866460620104474	brown	brown
ENSMUSG00000073602	ENSMUSG00000043461	0.7227382845389092	brown	brown
ENSMUSG00000073602	ENSMUSG00000074489	0.7681379839949884	brown	brown
ENSMUSG00000073602	ENSMUSG00000043165	0.789915835239993	brown	brown
ENSMUSG00000073602	ENSMUSG00000045539	0.791444806350588	brown	brown
ENSMUSG00000073602	ENSMUSG00000057609	0.7660023793729882	brown	brown
ENSMUSG00000073602	ENSMUSG00000027923	0.787492687640735	brown	brown
ENSMUSG00000073602	ENSMUSG00000068890	0.7946086715431293	brown	brown
ENSMUSG00000073602	ENSMUSG00000042092	0.7919057066761918	brown	brown
ENSMUSG00000073602	ENSMUSG00000103243	0.7868458669362526	brown	brown
ENSMUSG00000073602	ENSMUSG00000068889	0.7944159405956205	brown	brown
ENSMUSG00000073602	ENSMUSG00000042124	0.7917993709255077	brown	brown
ENSMUSG00000073602	ENSMUSG00000027919	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000049593	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000068888	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000095870	0.7874926876407347	brown	brown
ENSMUSG00000073602	ENSMUSG00000059832	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000090314	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000054325	0.792814198652981	brown	brown
ENSMUSG00000073602	ENSMUSG00000042031	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000045475	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000074433	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000068885	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000027913	0.7917578130733588	brown	brown
ENSMUSG00000073602	ENSMUSG00000027912	0.7906067535942506	brown	brown
ENSMUSG00000073602	ENSMUSG00000102439	0.7874926876407348	brown	brown
ENSMUSG00000073602	ENSMUSG00000041991	0.7749496092101169	brown	brown
ENSMUSG00000073602	ENSMUSG00000041984	0.7753861700004605	brown	brown
ENSMUSG00000073602	ENSMUSG00000028148	0.774708778843741	brown	brown
ENSMUSG00000073602	ENSMUSG00000027868	0.7776015366536224	brown	brown
ENSMUSG00000073602	ENSMUSG00000027887	0.7557519964273188	brown	brown
ENSMUSG00000073602	ENSMUSG00000090066	0.7143630554960593	brown	brown
ENSMUSG00000073602	ENSMUSG00000028464	0.7457522021185718	brown	brown
ENSMUSG00000073602	ENSMUSG00000037188	0.7177911908111316	brown	brown
ENSMUSG00000073602	ENSMUSG00000037139	0.7196150718945961	brown	brown
