"gene1","module1"
"ENSMUSG00000024471","brown"
"ENSMUSG00000069372","brown"
"ENSMUSG00000049173","brown"
"ENSMUSG00000075296","brown"
"ENSMUSG00000006457","brown"
"ENSMUSG00000032648","brown"
"ENSMUSG00000056078","brown"
"ENSMUSG00000043639","brown"
"ENSMUSG00000049134","brown"
"ENSMUSG00000025980","green"
"ENSMUSG00000073676","green"
"ENSMUSG00000026203","green"
"ENSMUSG00000014226","green"
"ENSMUSG00000026831","green"
"ENSMUSG00000026864","green"
"ENSMUSG00000067925","green"
"ENSMUSG00000025757","green"
"ENSMUSG00000028410","green"
"ENSMUSG00000028776","green"
"ENSMUSG00000097554","green"
"ENSMUSG00000100801","green"
"ENSMUSG00000029126","green"
"ENSMUSG00000037720","green"
"ENSMUSG00000009013","green"
"ENSMUSG00000041548","green"
"ENSMUSG00000008348","green"
"ENSMUSG00000015944","green"
"ENSMUSG00000029675","green"
"ENSMUSG00000004951","green"
"ENSMUSG00000018143","green"
"ENSMUSG00000029657","green"
"ENSMUSG00000025823","green"
"ENSMUSG00000029817","green"
"ENSMUSG00000030357","green"
"ENSMUSG00000054499","green"
"ENSMUSG00000058145","green"
"ENSMUSG00000039405","green"
"ENSMUSG00000070436","green"
"ENSMUSG00000030847","green"
"ENSMUSG00000037887","green"
"ENSMUSG00000019916","green"
"ENSMUSG00000037846","green"
"ENSMUSG00000020048","green"
"ENSMUSG00000020205","green"
"ENSMUSG00000025408","green"
"ENSMUSG00000071072","green"
"ENSMUSG00000005483","green"
"ENSMUSG00000079003","green"
"ENSMUSG00000003814","green"
"ENSMUSG00000025316","green"
"ENSMUSG00000039960","green"
"ENSMUSG00000001774","green"
"ENSMUSG00000015656","green"
"ENSMUSG00000032115","green"
"ENSMUSG00000032285","green"
"ENSMUSG00000032575","green"
"ENSMUSG00000020482","green"
"ENSMUSG00000020407","green"
"ENSMUSG00000020288","green"
"ENSMUSG00000020363","green"
"ENSMUSG00000018906","green"
"ENSMUSG00000083899","green"
"ENSMUSG00000054517","green"
"ENSMUSG00000058672","green"
"ENSMUSG00000021411","green"
"ENSMUSG00000037933","green"
"ENSMUSG00000056749","green"
"ENSMUSG00000014905","green"
"ENSMUSG00000059970","green"
"ENSMUSG00000021037","green"
"ENSMUSG00000021270","green"
"ENSMUSG00000022206","green"
"ENSMUSG00000068522","green"
"ENSMUSG00000022403","green"
"ENSMUSG00000023272","green"
"ENSMUSG00000008393","green"
"ENSMUSG00000022769","green"
"ENSMUSG00000047714","green"
"ENSMUSG00000089774","green"
"ENSMUSG00000090877","green"
"ENSMUSG00000091971","green"
"ENSMUSG00000023944","green"
"ENSMUSG00000019487","green"
"ENSMUSG00000024966","green"
"ENSMUSG00000071604","green"
"ENSMUSG00000042474","red"
"ENSMUSG00000020423","red"
"ENSMUSG00000041642","red"
"ENSMUSG00000026581","red"
"ENSMUSG00000038421","red"
"ENSMUSG00000015314","red"
"ENSMUSG00000037318","red"
"ENSMUSG00000026616","red"
"ENSMUSG00000027347","red"
"ENSMUSG00000042851","red"
"ENSMUSG00000050600","red"
"ENSMUSG00000031389","red"
"ENSMUSG00000073008","red"
"ENSMUSG00000059994","red"
"ENSMUSG00000037922","red"
"ENSMUSG00000014030","red"
"ENSMUSG00000029084","red"
"ENSMUSG00000039264","red"
"ENSMUSG00000029804","red"
"ENSMUSG00000030337","red"
