"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
15285,"ENSMUSG00000048490","Nrip1",0.0275629212088245,5.66744138262646,0.027158421428608,0.869102881270566,268903
15286,"ENSMUSG00000050299","Gm9843",0.155163117744051,1.35395553167892,0.129978146642231,0.718454698291743,NA
15287,"ENSMUSG00000022867","Usp25",-0.0654757858254961,6.95704630756113,0.175965233823543,0.674863832510422,30940
15288,"ENSMUSG00000090386","Mir99ahg",0.294905007397353,2.03497371419083,0.640819983096317,0.423414025327739,77994
15289,"ENSMUSG00000102562","Gm37694",-0.875221629837309,-0.607741758136271,1.95583134705077,0.16195985094195,NA
15290,"ENSMUSG00000109841","E330011O21Rik",-0.233086377599748,-0.388105225067923,0.170374551064133,0.679779146644083,NA
15291,"ENSMUSG00000022865","Cxadr",-0.067070197926561,6.96638624019694,0.155482591605564,0.693350107335513,13052
15292,"ENSMUSG00000022863","Btg3",-0.0989861228740738,5.44957320601395,0.331933180234057,0.564522972706582,12228
15293,"ENSMUSG00000022864","D16Ertd472e",-0.0963669147939883,4.03442190545442,0.210378002772047,0.646471290547423,67102
15294,"ENSMUSG00000022860","Chodl",-0.154158732482093,-0.212343614076937,0.0872707970085239,0.767675874385121,246048
15295,"ENSMUSG00000022762","Ncam2",0.806062726772861,-0.814713353619604,1.49340725918505,0.221688555993569,17968
15296,"ENSMUSG00000022889","Mrpl39",-0.0288681454340709,4.66746717992273,0.0238917993950854,0.87716054030179,27393
15297,"ENSMUSG00000053062","Jam2",0.0527751035681617,6.46821876389589,0.111825244304718,0.738075613663165,67374
15298,"ENSMUSG00000022890","Atp5j",0.00852685732787868,6.59602251222779,0.00297366737630532,0.956511837578828,NA
15299,"ENSMUSG00000008976","Gabpa",-0.0492732068643309,5.95152039224562,0.0936370190810822,0.759603377940816,14390
15300,"ENSMUSG00000022892","App",-0.0216467997368369,10.9880540679615,0.0168175462200538,0.896817642603412,11820
15301,"ENSMUSG00000041134","Cyyr1",-0.00476917517331418,7.98556508118394,0.000873443646984384,0.976422688119873,224405
15302,"ENSMUSG00000022893","Adamts1",0.0858409280995556,7.48662334525027,0.195611934247381,0.658286327007547,11504
15303,"ENSMUSG00000022894","Adamts5",-0.158536527643662,4.87366392501087,0.738546562298611,0.390126864165723,23794
15304,"ENSMUSG00000044442","N6amt1",-0.223908930648684,3.73930654549586,0.94419226986449,0.331202024101936,67768
15305,"ENSMUSG00000052299","Ltn1",-0.0799589731925626,5.88536460086473,0.243876741237958,0.621420042551197,78913
15306,"ENSMUSG00000041079","Rwdd2b",0.26176416983904,2.2372781742639,0.574993297954712,0.448281507209134,53858
15307,"ENSMUSG00000025616","Usp16",0.0101954925329746,5.66740085560432,0.00372714357907888,0.951319121105897,74112
15308,"ENSMUSG00000025613","Cct8",0.0484896311188797,7.03612465561843,0.0867954045175847,0.768291365214999,12469
15309,"ENSMUSG00000025610","Map3k7cl",0.253203121138473,1.37234163591486,0.3560423969506,0.550712444929384,224419
15310,"ENSMUSG00000025612","Bach1",-0.0784607875173917,6.48339255389917,0.247681720947327,0.618712200116835,12013
