"gene1","module1","EntrezID"
"ENSMUSG00000076556","turquoise","235952"
"ENSMUSG00000096833","turquoise","385253"
"ENSMUSG00000095753","turquoise","546213"
"ENSMUSG00000094993","turquoise","619806"
"ENSMUSG00000076562","turquoise","381782"
"ENSMUSG00000076563","turquoise","619846"
"ENSMUSG00000076564","turquoise","692245"
"ENSMUSG00000094094","turquoise","545850"
"ENSMUSG00000096422","turquoise","545851"
"ENSMUSG00000094433","turquoise","381783"
"ENSMUSG00000095007","turquoise","619960"
"ENSMUSG00000076569","turquoise","620017"
"ENSMUSG00000076570","turquoise","620050"
"ENSMUSG00000076571","turquoise","384417"
"ENSMUSG00000104769","turquoise","620126"
"ENSMUSG00000076576","turquoise","434039"
"ENSMUSG00000076577","turquoise","384419"
"ENSMUSG00000094356","turquoise","434040"
"ENSMUSG00000076580","turquoise","434041"
"ENSMUSG00000094930","turquoise","381784"
"ENSMUSG00000076583","turquoise","677858"
"ENSMUSG00000095630","turquoise","637227"
"ENSMUSG00000076586","turquoise","620400"
"ENSMUSG00000076587","turquoise","108024"
"ENSMUSG00000096594","turquoise","232065"
"ENSMUSG00000095794","turquoise","667865"
"ENSMUSG00000076591","turquoise","640340"
"ENSMUSG00000094797","turquoise","108022"
"ENSMUSG00000096844","turquoise","667881"
"ENSMUSG00000076594","turquoise","667899"
"ENSMUSG00000094117","turquoise","667914"
"ENSMUSG00000076596","turquoise","667924"
"ENSMUSG00000095338","turquoise","667928"
"ENSMUSG00000076598","turquoise","108005"
"ENSMUSG00000095335","turquoise","667940"
"ENSMUSG00000096715","turquoise","626347"
"ENSMUSG00000095351","turquoise","626583"
"ENSMUSG00000095682","turquoise","108004"
"ENSMUSG00000076604","turquoise","110759"
"ENSMUSG00000076605","turquoise","110760"
"ENSMUSG00000076608","turquoise","110763"
"ENSMUSG00000076609","turquoise","16071"
"ENSMUSG00000056737","turquoise","12332"
"ENSMUSG00000079523","turquoise","19240"
"ENSMUSG00000052861","turquoise","330355"
"ENSMUSG00000030017","turquoise","19695"
"ENSMUSG00000033788","turquoise","26903"
"ENSMUSG00000051343","turquoise","52055"
"ENSMUSG00000030000","turquoise","11519"
"ENSMUSG00000030046","turquoise","12154"
"ENSMUSG00000030047","turquoise","232201"
"ENSMUSG00000033174","turquoise","23945"
"ENSMUSG00000033152","turquoise","319655"
"ENSMUSG00000064080","turquoise","14115"
"ENSMUSG00000030096","turquoise","21366"
"ENSMUSG00000030022","turquoise","101401"
"ENSMUSG00000030074","turquoise","232313"
"ENSMUSG00000035357","turquoise","55983"
"ENSMUSG00000030077","turquoise","12661"
"ENSMUSG00000034648","turquoise","16979"
"ENSMUSG00000030103","turquoise","20893"
"ENSMUSG00000030104","turquoise","192193"
"ENSMUSG00000034387","turquoise","243612"
"ENSMUSG00000009394","turquoise","20965"
"ENSMUSG00000030123","turquoise","67784"
"ENSMUSG00000048489","turquoise","213393"
"ENSMUSG00000030111","turquoise","232345"
"ENSMUSG00000030116","turquoise","50530"
"ENSMUSG00000040613","turquoise","11810"
"ENSMUSG00000003153","turquoise","20527"
"ENSMUSG00000040552","turquoise","12267"
"ENSMUSG00000030148","turquoise","26888"
"ENSMUSG00000023349","turquoise","56620"
"ENSMUSG00000030144","turquoise","17474"
"ENSMUSG00000038527","turquoise","232371"
"ENSMUSG00000055172","turquoise","50909"
"ENSMUSG00000038521","turquoise","50908"
"ENSMUSG00000000182","turquoise","64654"
"ENSMUSG00000000184","turquoise","12444"
"ENSMUSG00000047228","turquoise","232400"
"ENSMUSG00000053063","turquoise","232413"
"ENSMUSG00000079293","turquoise","56644"
"ENSMUSG00000030162","turquoise","108078"
"ENSMUSG00000067591","turquoise","16634"
"ENSMUSG00000090698","turquoise","381823"
"ENSMUSG00000030208","turquoise","13730"
"ENSMUSG00000030214","turquoise","66857"
"ENSMUSG00000030217","turquoise","109978"
"ENSMUSG00000030218","turquoise","17313"
"ENSMUSG00000030237","turquoise","28250"
"ENSMUSG00000063975","turquoise","108096"
"ENSMUSG00000030256","turquoise","79362"
"ENSMUSG00000058818","turquoise","18733"
"ENSMUSG00000081665","turquoise","18722"
"ENSMUSG00000089942","turquoise","18725"
"ENSMUSG00000074417","turquoise","18724"
"ENSMUSG00000055541","turquoise","52855"
"ENSMUSG00000070873","turquoise","232801"
"ENSMUSG00000081723","turquoise","112136069"
"ENSMUSG00000043017","turquoise","19222"
"ENSMUSG00000011263","turquoise","74463"
"ENSMUSG00000002985","turquoise","11816"
"ENSMUSG00000014686","turquoise","330483"
"ENSMUSG00000040907","turquoise","232975"
"ENSMUSG00000060188","turquoise","232983"
"ENSMUSG00000005547","turquoise","13087"
"ENSMUSG00000003363","turquoise","18807"
"ENSMUSG00000030579","turquoise","22177"
"ENSMUSG00000030577","turquoise","12483"
"ENSMUSG00000009687","turquoise","18301"
"ENSMUSG00000019194","turquoise","20266"
"ENSMUSG00000074170","turquoise","72287"
"ENSMUSG00000013367","turquoise","210094"
"ENSMUSG00000004609","turquoise","12489"
"ENSMUSG00000002204","turquoise","16541"
"ENSMUSG00000007783","turquoise","78070"
"ENSMUSG00000050708","turquoise","14325"
"ENSMUSG00000003873","turquoise","12028"
"ENSMUSG00000059824","turquoise","13170"
"ENSMUSG00000040046","turquoise","21990"
"ENSMUSG00000040026","turquoise","20210"
"ENSMUSG00000010307","turquoise","67893"
"ENSMUSG00000099620","turquoise","620137"
"ENSMUSG00000070547","turquoise","233231"
"ENSMUSG00000074109","turquoise","243978"
"ENSMUSG00000050425","turquoise","243979"
"ENSMUSG00000030609","turquoise","68048"
"ENSMUSG00000030605","turquoise","17304"
"ENSMUSG00000039062","turquoise","16790"
