"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000026553",0.00894363964065769,0.00168682985631943,"Copa","Positive","Positive"
"ENSMUSG00000021577",0.00894360306179882,-0.00267649886013524,"Sdha","Positive","Negative"
"ENSMUSG00000022684",0.00894352717069524,0.00129546688947779,"Bfar","Positive","Positive"
"ENSMUSG00000042359",0.00894339452578446,0.000694107255445905,"Osbpl6","Positive","Positive"
"ENSMUSG00000031918",0.0089432106255588,-0.00203611122536644,"Mtmr2","Positive","Negative"
"ENSMUSG00000037236",0.00894316771945908,-0.000711954133196958,"Matr3","Positive","Negative"
"ENSMUSG00000006005",0.00894310467344655,-0.000627076079814164,"Tpr","Positive","Negative"
"ENSMUSG00000025224",0.00894307340849078,-0.00114902964996284,"Gbf1","Positive","Negative"
"ENSMUSG00000026159",0.00894298219195799,0.00133051200180565,"Agfg1","Positive","Positive"
"ENSMUSG00000027523",0.00894277924726117,0.0028862108319306,"Gnas","Positive","Positive"
"ENSMUSG00000053838",0.00894260874360462,-0.00074175616498547,"Nudcd3","Positive","Negative"
"ENSMUSG00000047731",0.00894207489316389,0.00192713545123438,"Wbp1l","Positive","Positive"
"ENSMUSG00000007564",0.0089418253248757,0.00117973999224341,"Ppp2r1a","Positive","Positive"
"ENSMUSG00000034265",0.00894182278063563,0.00151168380753074,"Zdhhc14","Positive","Positive"
"ENSMUSG00000003316",0.00894178351227029,0.00141263425759758,"Glg1","Positive","Positive"
"ENSMUSG00000042502",0.00894148584564393,-0.000227554031826313,"Cd2bp2","Positive","Negative"
"ENSMUSG00000040549",0.00894126716986583,0.00134049860735604,"Ckap5","Positive","Positive"
"ENSMUSG00000019373",0.00894106852841577,0.0015746331501622,"Cops3","Positive","Positive"
"ENSMUSG00000028618",0.0089409344131506,0.000916684869257458,"Tmem59","Positive","Positive"
"ENSMUSG00000030216",0.00894075972151541,-0.00187872725448938,"Wbp11","Positive","Negative"
"ENSMUSG00000029106",0.00894061465100766,-0.0029205033115645,"Add1","Positive","Negative"
"ENSMUSG00000000787",0.00894043278482348,-0.00160333327424869,"Ddx3x","Positive","Negative"
"ENSMUSG00000022962",0.00894003784433764,-0.00165032893929145,"Gart","Positive","Negative"
"ENSMUSG00000029501",0.00893969566929307,-8.86586236090448e-05,"Ankle2","Positive","Negative"
"ENSMUSG00000038762",0.00893936299069026,0.00282251105904694,"Abcf1","Positive","Positive"
"ENSMUSG00000025428",0.00893917113203558,-0.000393150582966668,"Atp5a1","Positive","Negative"
"ENSMUSG00000022614",0.008939036045937,-0.0027187210239283,"Lmf2","Positive","Negative"
"ENSMUSG00000025925",0.00893903389229598,-0.000293172058555362,"Terf1","Positive","Negative"
"ENSMUSG00000004789",0.00893838186932577,-2.81179648534936e-05,"Dlst","Positive","Negative"
"ENSMUSG00000035521",0.00893798004836622,0.000664079642168955,"Gnptg","Positive","Positive"
"ENSMUSG00000027215",0.00893794717226246,-6.78169868361733e-05,"Cd82","Positive","Negative"
"ENSMUSG00000014748",0.00893771018541913,0.000596103530766705,"Tex261","Positive","Positive"
"ENSMUSG00000063015",0.00893757897876717,-0.00103069816315635,"Ccni","Positive","Negative"
"ENSMUSG00000070934",0.00893755788921047,0.00180567618729099,"Rraga","Positive","Positive"
