"X","ID","Gene.name","logFC","logCPM","LR","PValue"
7131,"ENSMUSG00000003545","Fosb",1.1730126354128,4.069021445867,17.6300170213284,2.6831969925247e-05
7161,"ENSMUSG00000089886","Gm16184",1.58604785743767,-0.287965488644464,5.79713984386266,0.0160522658620073
7301,"ENSMUSG00000049676","Catsperg1",1.39066463296241,2.00319820977598,15.2796782925396,9.27085407019239e-05
7361,"ENSMUSG00000074199","Krtdap",11.2576512643374,2.75377149049133,3.88201450717391,0.0488059628905511
7363,"ENSMUSG00000044453","Ffar1",1.65252068180678,0.421363716590551,10.1687890528607,0.0014283806000792
7388,"ENSMUSG00000085124","Gm12766",1.37225134220951,-0.626439168333794,4.21749632408767,0.0400091546091739
7431,"ENSMUSG00000039013","Siglec5",1.17067524141815,4.16686012059091,35.560394848885,2.47264033975667e-09
7432,"ENSMUSG00000030468","Siglecg",1.30521055533893,2.8699838325143,8.82858936306882,0.00296547528754779
7455,"ENSMUSG00000098661","Mir7052",1.86426448361132,-0.622683864464828,5.21902170306991,0.0223411160935447
7526,"ENSMUSG00000109998","Gm45437",1.32785745164314,0.911030273430713,9.27569318646811,0.00232214789871251
7530,"ENSMUSG00000040364","Sec1",1.49139220542344,2.96399321208398,6.163617315725,0.0130404262765638
7656,"ENSMUSG00000108563","Gm44686",1.66506037566853,0.425801893402945,7.337339018569,0.00675367407161356
8073,"ENSMUSG00000030724","Cd19",1.28415164953657,3.59169244764746,10.5153848947612,0.00118384771038899
8114,"ENSMUSG00000030672","Mylpf",4.56484296632288,2.94952121606719,5.39877275545693,0.0201509162420845
8258,"ENSMUSG00000059108","Ifitm6",1.30894886729562,0.274722372476891,4.22476141307782,0.0398382197638946
8443,"ENSMUSG00000019987","Arg1",1.72757838985934,1.0782279083663,13.4357385660259,0.000246875771854442
8491,"ENSMUSG00000087014","Gm16364",1.33152679569121,-0.0596215051487734,4.07690862024807,0.0434731263373404
8620,"ENSMUSG00000047146","Tet1",1.28065576672635,2.60178950134089,13.7979557961196,0.000203557590767507
8886,"ENSMUSG00000096945","Gm26546",1.49053392241057,-0.485805569218683,5.30113404124999,0.0213115448420585
9053,"ENSMUSG00000025407","Gli1",1.08384719496463,2.409728521175,8.68248547622643,0.00321282535818713
9099,"ENSMUSG00000025359","Pmel",2.4369771201097,0.0490254151413827,11.2197551879388,0.000809311703954123
9115,"ENSMUSG00000074497","A430078G23Rik",1.10761496666254,2.1029542168173,10.2919737045105,0.00133610100158761
9129,"ENSMUSG00000005540","Fcer2a",1.1969108295049,3.61632666425621,16.2492482810324,5.55316228764158e-05
9154,"ENSMUSG00000108912","E230020D15Rik",1.01559088502654,0.816786920867617,3.86216842328708,0.0493864614750555
9184,"ENSMUSG00000099338","2810030D12Rik",1.23997143779827,0.691034492506001,4.85803201825513,0.0275177075962441
