"Gene_ID","Gene.name","Count","entrezgene_id"
"ENSMUSG00000036206","Sh3bp4",2693,98402
"ENSMUSG00000055013","Agap1",4182,347722
"ENSMUSG00000026301","Iqca",529,NA
"ENSMUSG00000044337","Ackr3",1924,12778
"ENSMUSG00000034432","Cops8",1720,108679
"ENSMUSG00000048126","Col6a3",5270,12835
"ENSMUSG00000026303","Mlph",1002,171531
"ENSMUSG00000026304","Rab17",59,19329
"ENSMUSG00000026305","Lrrfip1",7628,16978
"ENSMUSG00000034353","Ramp1",724,51801
"ENSMUSG00000034343","Ube2f",1209,67921
"ENSMUSG00000083064","Gm7785",12,NA
"ENSMUSG00000026307","Scly",872,50880
"ENSMUSG00000026308","Klhl30",53,70788
"ENSMUSG00000047443","Erfe",13,227358
"ENSMUSG00000026309","Ilkap",1471,67444
"ENSMUSG00000100253","1700020N18Rik",47,67086
"ENSMUSG00000067071","Hes6",1060,55927
"ENSMUSG00000055866","Per2",3688,18627
"ENSMUSG00000034292","Traf3ip1",2182,74019
"ENSMUSG00000026311","Asb1",1517,65247
"ENSMUSG00000007805","Twist2",20,13345
"ENSMUSG00000026313","Hdac4",1380,208727
"ENSMUSG00000026260","Ndufa10",1990,67273
"ENSMUSG00000073616","Cops9",960,66915
"ENSMUSG00000034220","Gpc1",1383,14733
"ENSMUSG00000034212","Ankmy1",117,241158
"ENSMUSG00000047067","Dusp28",296,67446
"ENSMUSG00000097251","5033417F24Rik",45,75995
"ENSMUSG00000026269","Rnpepl1",4371,108657
"ENSMUSG00000026270","Capn10",526,23830
"ENSMUSG00000026271","Gpr35",241,64095
"ENSMUSG00000014602","Kif1a",814,16560
"ENSMUSG00000034159","2310007B03Rik",1912,NA
"ENSMUSG00000084989","Crocc2",354,381284
"ENSMUSG00000047793","Sned1",1876,208777
"ENSMUSG00000026273","Mterf4",375,69821
"ENSMUSG00000026274","Pask",136,269224
"ENSMUSG00000026275","Ppp1r7",1925,66385
"ENSMUSG00000034088","Hdlbp",11447,110611
"ENSMUSG00000026276","2-Sep",9936,NA
"ENSMUSG00000034066","Farp2",527,227377
"ENSMUSG00000026277","Stk25",3806,59041
"ENSMUSG00000100927","Gm28536",21,NA
"ENSMUSG00000026278","Bok",443,51800
"ENSMUSG00000026279","Thap4",492,67026
"ENSMUSG00000026280","Atg4b",1794,66615
"ENSMUSG00000026281","Dtymk",659,21915
"ENSMUSG00000026283","Ing5",1362,66262
"ENSMUSG00000073609","D2hgdh",224,98314
"ENSMUSG00000093805","Gal3st2b",15,100041596
"ENSMUSG00000026285","Pdcd1",78,18566
"ENSMUSG00000100347","Gm7895",8,NA
"ENSMUSG00000051185","Fam174a",1545,67698
"ENSMUSG00000103973","BC055308",23,NA
"ENSMUSG00000081051","Gm15427",106,NA
"ENSMUSG00000040710","St8sia4",2414,20452
"ENSMUSG00000040693","Slco4c1",2003,227394
"ENSMUSG00000097814","Panct2",208,329217
"ENSMUSG00000044768","D1Ertd622e",1127,NA
"ENSMUSG00000040648","Ppip5k2",1493,227399
"ENSMUSG00000026333","Gin1",232,252876
"ENSMUSG00000026335","Pam",15070,18484
"ENSMUSG00000089782","Gm3531",66,NA
"ENSMUSG00000089706","B230216N24Rik",23,78603
"ENSMUSG00000089791","Gm3555",22,NA
"ENSMUSG00000100009","Gm7967",15,NA
"ENSMUSG00000082431","Tdpx-ps1",11,NA
"ENSMUSG00000047496","Rnf152",151,320311
"ENSMUSG00000067017","Gm3608",685,NA
"ENSMUSG00000056536","Pign",1327,27392
"ENSMUSG00000026319","2310035C23Rik",1521,NA
"ENSMUSG00000026321","Tnfrsf11a",309,21934
"ENSMUSG00000099843","Gm7160",82,635504
"ENSMUSG00000038866","Zcchc2",1499,227449
"ENSMUSG00000101583","Gm20753",19,626049
"ENSMUSG00000044340","Phlpp1",2743,98432
"ENSMUSG00000057329","Bcl2",1607,12043
"ENSMUSG00000009905","Kdsr",1920,70750
"ENSMUSG00000009907","Vps4b",3912,20479
"ENSMUSG00000067006","Serpinb5",9,20724
"ENSMUSG00000059956","Serpinb12",7,71869
"ENSMUSG00000044594","Serpinb3a",0,20248
"ENSMUSG00000073601","Serpinb3c",0,381286
"ENSMUSG00000092572","Serpinb10",72,241197
"ENSMUSG00000026315","Serpinb8",379,20725
"ENSMUSG00000047216","Cdh19",97,227485
"ENSMUSG00000038702","Dsel",600,319901
"ENSMUSG00000026374","Tsn",2632,22099
"ENSMUSG00000026377","Nifk",813,67949
"ENSMUSG00000064302","Clasp1",2464,76707
"ENSMUSG00000026380","Tfcp2l1",1360,81879
"ENSMUSG00000048402","Gli2",168,14633
"ENSMUSG00000037035","Inhbb",2910,16324
"ENSMUSG00000004451","Ralb",2737,64143
"ENSMUSG00000098923","Tmem185b",712,226351
"ENSMUSG00000026383","Epb41l5",3449,226352
"ENSMUSG00000026384","Ptpn4",2281,19258
"ENSMUSG00000036975","Tmem177",212,66343
"ENSMUSG00000036962","Cfap221",118,226356
"ENSMUSG00000050777","Tmem37",971,170706
"ENSMUSG00000026385","Dbi",2199,13167
"ENSMUSG00000026388","3110009E18Rik",82,73103
"ENSMUSG00000026389","Steap3",2845,68428
"ENSMUSG00000026390","Marco",1095,17167
"ENSMUSG00000003721","Insig2",1474,72999
"ENSMUSG00000104253","Gm37174",19,NA
"ENSMUSG00000026339","Ccdc93",1499,70829
"ENSMUSG00000001674","Ddx18",1021,66942
"ENSMUSG00000026341","Actr3",7859,74117
"ENSMUSG00000026342","Slc35f5",1473,74150
"ENSMUSG00000026343","Gpr39",175,71111
"ENSMUSG00000026344","Lypd1",16,72585
"ENSMUSG00000049690","Nckap5",6025,210356
"ENSMUSG00000104519","Gm37161",45,NA
"ENSMUSG00000036155","Mgat5",2142,107895
"ENSMUSG00000099471","Gm8451",15,NA
"ENSMUSG00000026347","Tmem163",531,72160
"ENSMUSG00000026348","Acmsd",29,266645
"ENSMUSG00000026349","Ccnt2",2875,72949
"ENSMUSG00000051590","Map3k19",312,22625
"ENSMUSG00000036104","Rab3gap1",2332,226407
"ENSMUSG00000036086","Zranb3",194,226409
"ENSMUSG00000099760","Gm28800",7,NA
"ENSMUSG00000104164","Gm38248",20,NA
"ENSMUSG00000058603","Rpl28-ps1",38,NA
"ENSMUSG00000056211","R3hdm1",1571,226412
"ENSMUSG00000026353","Ubxn4",3996,67812
"ENSMUSG00000026355","Mcm6",1092,17219
"ENSMUSG00000026356","Dars",2082,NA
"ENSMUSG00000100078","Gm6170",24,NA
