"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","Gene.name","EntrezID"
"ENSMUSG00000040026",-0.925950010750905,-0.286142032021576,-0.187046141790286,-0.115100253629201,-0.19277588104742,0.972079824077938,-0.572021775097477,"Saa3","20210"
"ENSMUSG00000040046",-0.949100389889917,-0.189493040993211,-0.179966241665059,-0.155274211043604,-0.233911275518423,0.979235139036627,-0.593674736487813,"Tph1","21990"
"ENSMUSG00000040133",-0.856436406274583,-0.115523629400515,-0.149937695958578,-0.182375162608893,-0.180102278029434,0.906771987322059,-0.718574059929537,"Gpr176","381413"
"ENSMUSG00000040265",-0.910663215683259,-0.335986537872765,-0.308928348290857,0.0247203508191006,-0.136362206293783,0.92843365572863,-0.476575862768049,"Dnm3","103967"
"ENSMUSG00000040283",-0.915309489313267,-0.269257130086805,-0.176780910108369,-0.10779169616568,-0.299724770741475,0.939145486585591,-0.492287253020424,"Btnl9","237754"
"ENSMUSG00000040314",-0.882204851232531,-0.276929801837646,-0.0610559055475293,-0.219808717447251,-0.423241361823294,0.907164242169165,-0.461979234282977,"Ctsg","13035"
"ENSMUSG00000040552",-0.915175120080886,-0.201164904785478,-0.374102287866752,0.0977916848370538,0.00592568311060536,0.931689452320041,-0.547453101428996,"C3ar1","12267"
"ENSMUSG00000040605",-0.747455946485866,-0.303843944587178,0.119023335478236,-0.457574501413948,-0.459391144384056,0.839979670878648,-0.63683247330656,"Bace2","56175"
"ENSMUSG00000040612",-0.945338315364388,-0.212771877620326,-0.247695026213495,-0.0532728151273543,-0.118749020729305,0.973387858448028,-0.616049171619023,"Ildr2","100039795"
"ENSMUSG00000040613",-0.912485445331287,-0.16995209393352,-0.520729949468722,0.235893689575557,0.0874708523976629,0.90572237364816,-0.442397080004429,"Apobec1","11810"
"ENSMUSG00000040711",-0.829127914271823,-0.325108429736049,0.075483176311983,-0.279346972996238,-0.419616851616133,0.875366173166377,-0.548881033131099,"Sh3pxd2b","268396"
"ENSMUSG00000040713",-0.886073908580838,-0.219498664793733,-0.207741692517191,-0.117492729964545,-0.234806134352756,0.914559340660995,-0.490020842634306,"Creg1","433375"
