"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000041741","blue",3099,2210,1524,2622,2017,2119,3968,1791,2874,1519,1475,1397,2533,1276,2772,"Pde3a","54611"
"ENSMUSG00000030246","blue",2728,2394,2876,2964,2311,2274,4624,2073,3127,1883,1917,2071,3586,2377,3601,"Ldhb","16832"
"ENSMUSG00000062524","blue",69,94,78,89,62,83,104,46,106,98,60,33,55,31,86,"Ncr1","17086"
"ENSMUSG00000035458","blue",842,768,764,967,487,833,1479,573,1176,485,526,632,855,451,1662,"Tnni3","21954"
"ENSMUSG00000085272","blue",212,183,203,338,150,332,441,106,229,110,78,135,101,89,368,"Sbk3","381835"
"ENSMUSG00000041560","blue",2659,2363,3172,3866,3252,3260,5797,2661,3352,2551,2637,2592,3397,3049,3942,"Nop53","68077"
"ENSMUSG00000040987","blue",324,207,194,371,236,240,482,171,254,165,175,134,349,179,363,"Mill2","243864"
"ENSMUSG00000003545","blue",253,312,230,437,437,327,686,196,226,225,247,321,279,140,419,"Fosb","14282"
"ENSMUSG00000052974","blue",60368,47071,49678,60738,44079,50876,108004,39601,60763,40138,38594,36538,65318,42631,65874,"Cyp2f2","13107"
"ENSMUSG00000086868","blue",390,293,230,466,374,272,819,190,309,213,302,226,249,179,388,"Gm15883","102632321"
"ENSMUSG00000040488","blue",18506,16333,12242,18792,15623,15881,31472,12063,18517,12458,13253,10516,21814,14635,22607,"Ltbp4","108075"
"ENSMUSG00000037166","blue",1373,1127,1650,1697,1323,1429,2618,1111,1443,982,1102,887,1997,1168,1990,"Ppp1r14a","68458"
"ENSMUSG00000074218","blue",149,143,166,165,127,197,302,66,228,88,76,111,186,99,261,"Cox7a1","12865"
"ENSMUSG00000036570","blue",723,661,687,791,540,796,1264,526,807,525,547,471,974,623,1097,"Fxyd1","56188"
"ENSMUSG00000030495","blue",769,671,537,776,529,511,1221,438,608,438,428,325,733,381,833,"Slc7a10","53896"
"ENSMUSG00000064023","blue",75,92,98,114,85,113,184,47,71,54,50,40,110,62,93,"Klk8","259277"
"ENSMUSG00000110206","blue",287,246,197,354,304,266,635,182,275,207,252,220,267,189,452,"Flt3l","14256"
"ENSMUSG00000070570","blue",99,85,52,124,60,119,165,34,90,43,32,74,78,51,173,"Slc17a7","72961"
"ENSMUSG00000063511","blue",3939,3578,3556,4269,4200,3197,7825,3337,4125,2760,3893,3753,4260,3402,5951,"Snrnp70","20637"
"ENSMUSG00000030554","blue",3655,2880,2180,3328,2829,2863,5193,2399,4137,2347,2239,2267,4307,2529,4229,"Synm","233335"
"ENSMUSG00000005533","blue",2482,1976,2057,2908,2332,2011,4372,1770,2651,1700,1812,1841,2754,1883,3610,"Igf1r","16001"
"ENSMUSG00000097415","blue",1698,1648,2247,2905,2391,1874,4012,1205,1929,1791,1832,1641,1931,1837,2637,"AU020206","108167440"
"ENSMUSG00000049791","blue",3240,2954,2664,4655,3382,3292,6497,2960,3724,2380,2817,2822,4031,3425,3911,"Fzd4","14366"
"ENSMUSG00000030616","blue",482,451,418,665,532,424,956,416,560,337,367,299,551,373,602,"Sytl2","83671"
"ENSMUSG00000035686","blue",614,605,353,419,368,600,1009,327,918,437,352,287,907,375,882,"Thrsp","21835"
"ENSMUSG00000035547","blue",775,724,648,834,827,476,1073,565,797,594,580,568,1016,576,867,"Capn5","12337"
"ENSMUSG00000090958","blue",1454,1313,1230,1364,1226,1236,2252,960,1261,813,797,1161,1783,1084,1842,"Lrrc32","434215"
"ENSMUSG00000018909","blue",7813,6548,5452,7906,6105,5427,11750,5374,7099,4957,5187,5470,8912,5533,7599,"Arrb1","109689"
"ENSMUSG00000073940","blue",3737,3547,2641,4707,2601,2824,8702,1143,2930,2070,1752,1746,2695,1498,4135,"Hbb-bt","101488143"
"ENSMUSG00000052305","blue",33847,34463,26006,42301,24702,26232,79117,12032,32712,20370,17433,16826,28836,15614,39617,"Hbb-bs","100503605"
"ENSMUSG00000036989","blue",3603,2827,2439,2846,2204,1944,4461,2368,2947,1639,2287,2013,3846,2118,3096,"Trim3","55992"
"ENSMUSG00000007279","blue",2002,2037,1308,2788,1494,1837,3706,1195,2106,1203,1254,943,2021,1203,2238,"Scube2","56788"
"ENSMUSG00000030787","blue",5893,4911,5384,4797,2692,4617,8462,2630,2708,927,965,840,3756,1013,1857,"Lyve1","114332"
"ENSMUSG00000038296","blue",3161,2687,2865,3163,2394,2356,4709,2556,3133,2178,2229,2229,4141,2351,3691,"Galnt18","233733"
"ENSMUSG00000055723","blue",1772,1461,1489,1618,1058,1134,2216,1230,1824,966,1123,935,2361,1375,1847,"Rras2","66922"
"ENSMUSG00000058420","blue",97,95,65,89,56,76,104,42,85,32,30,38,125,37,89,"Syt17","110058"
